trajectory_id,x,y
0,10.45,11.43
0,10.3,12.04
0,10.39,12.38
0,10.58,11.44
0,10.63,10.46
0,10.45,9.63
0,10.12,8.82
0,10.03,8.54
0,9.95,8.51
0,9.8,8.45
0,9.62,8.29
0,9.43,7.92
0,9.42,7.41
0,9.68,6.51
0,9.69,5.51
0,9.69,4.51
0,9.69,3.51
0,9.94,2.85
0,10.28,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.3,2.54
0,10.39,2.48
0,10.5,2.5
0,10.71,2.53
0,10.83,2.55
0,10.94,2.52
0,11.08,2.48
0,11.28,2.4
0,11.63,2.21
0,11.7,2.24
0,11.89,2.11
0,11.93,2.1
0,11.94,2.1
0,11.95,2.1
0,11.97,2.1
0,11.98,2.1
0,11.99,2.1
0,12.01,2.11
0,12.03,2.11
0,12.04,2.12
0,12.05,2.12
0,12.06,2.13
0,12.07,2.13
0,12.07,2.13
0,12.08,2.13
0,12.08,2.14
0,12.08,2.14
0,12.09,2.14
0,12.09,2.14
0,11.97,2.05
