x	y	r	theta	part
11.857616871925725	13.041532669474666	1.0	0.0	-1.0
24.34824133365195	15.181011843266127	1.0	0.0	-1.0
2.7728657070898386	10.546506548030841	1.0	0.0	-1.0
22.472232312001235	14.466176391794042	1.0	0.0	-1.0
23.322042215971955	11.34814451830457	1.0	0.0	-1.0
19.136361592848996	23.280907109383776	1.0	0.0	-1.0
25.42341548643577	22.826311059648617	1.0	0.0	-1.0
18.755188534518656	25.4606409966455	1.0	0.0	-1.0
15.315376599967484	18.557067039867572	1.0	0.0	-1.0
20.576825341375777	24.65474300712205	1.0	0.0	-1.0
3.5459747467236946	8.737448583218637	1.0	0.0	-1.0
24.114942705586106	24.282220870787132	1.0	0.0	-1.0
22.18646779029465	3.9341506933698036	1.0	0.0	-1.0
12.548867701784603	16.232660096645038	1.0	0.0	-1.0
11.370118603124956	21.45991670424769	1.0	0.0	-1.0
13.642074717091822	5.759957650063289	1.0	0.0	-1.0
13.34961070877111	24.135097861788875	1.0	0.0	-1.0
15.73374349670717	14.073011257341404	1.0	0.0	-1.0
6.516828891810186	19.696000843496694	1.0	0.0	-1.0
21.54719617250285	18.21835575995014	1.0	0.0	-1.0
26.99022062709864	9.958243950076303	1.0	0.0	-1.0
9.392254365645739	18.493959224905225	1.0	0.0	-1.0
15.158864497469466	10.23119634233297	1.0	0.0	-1.0
13.439781848456112	28.02809530431621	1.0	0.0	-1.0
9.049994861395987	3.342489381098181	1.0	0.0	-1.0
18.276765049914264	19.4491711690143	1.0	0.0	-1.0
8.196309025719641	11.737827294103424	1.0	0.0	-1.0
10.893954738596305	2.6359540032377593	1.0	0.0	-1.0
16.447626267163677	20.239179729300744	1.0	0.0	-1.0
22.616003260183426	25.544950805378054	1.0	0.0	-1.0
23.709854080857866	5.146180150155569	1.0	0.0	-1.0
17.156385953820294	17.779383523724242	1.0	0.0	-1.0
24.260265608389084	17.17710225122145	1.0	0.0	-1.0
26.533152724330982	21.21645222210079	1.0	0.0	-1.0
6.171011594952998	16.421214569382723	1.0	0.0	-1.0
9.69688071768637	26.889076482449244	1.0	0.0	-1.0
22.231619576445077	20.60453519332559	1.0	0.0	-1.0
15.38741568576496	28.216211405596844	1.0	0.0	-1.0
7.786978552562037	21.23983438157892	1.0	0.0	-1.0
9.64955498462885	22.472446957422584	1.0	0.0	-1.0
9.095877267543992	5.324735833332268	1.0	0.0	-1.0
5.55238169502333	8.796644210615575	1.0	0.0	-1.0
28.126110017240965	15.677806448234744	1.0	0.0	-1.0
2.176045639538449	18.31981030983125	1.0	0.0	-1.0
3.796036935040892	21.8658023190401	1.0	0.0	-1.0
7.9759871020157425	25.948600477957836	1.0	0.0	-1.0
24.011119432255022	13.212796829492232	1.0	0.0	-1.0
21.77134434309891	12.609647333993324	1.0	0.0	-1.0
7.3239915600567125	4.305702582228958	1.0	0.0	-1.0
20.448393979743688	4.9053019595979634	1.0	0.0	-1.0
12.797830166676539	2.116521849821969	1.0	0.0	-1.0
9.27117824955281	24.431244586182103	1.0	0.0	-1.0
17.59213770306826	6.111109344311568	1.0	0.0	-1.0
27.640305450898783	11.802007773939446	1.0	0.0	-1.0
25.29051949491528	11.005227099392648	1.0	0.0	-1.0
4.999271542629365	23.411206471806736	1.0	0.0	-1.0
4.234733029978473	11.911480405739628	1.0	0.0	-1.0
19.18757689146898	27.40975587560118	1.0	0.0	-1.0
20.464174906680917	16.156913320364147	1.0	0.0	-1.0
7.4720813568389755	17.93934000062344	1.0	0.0	-1.0
10.89557896012087	10.083922071999034	1.0	0.0	-1.0
22.4273119319088	16.44169821818013	1.0	0.0	-1.0
7.379523395330197	13.862546556674989	1.0	0.0	-1.0
25.967041922728495	12.866943192445111	1.0	0.0	-1.0
17.310099383783665	24.082430206726954	1.0	0.0	-1.0
20.96764270258425	26.604684561981404	1.0	0.0	-1.0
14.308497502572102	7.598340956995171	1.0	0.0	-1.0
2.8043159392087342	20.179107177021365	1.0	0.0	-1.0
21.99596152534489	6.097354854124572	1.0	0.0	-1.0
2.0006557064847104	16.361333232481954	1.0	0.0	-1.0
15.234115968232398	22.35302610929341	1.0	0.0	-1.0
18.546664847524802	10.729088188238263	1.0	0.0	-1.0
20.90653223118692	10.825771293419427	1.0	0.0	-1.0
23.279861571484833	7.605741006415488	1.0	0.0	-1.0
27.992958144872613	17.62516636176479	1.0	0.0	-1.0
4.5580805963935935	7.0515358560279315	1.0	0.0	-1.0
6.401766398642625	24.780123467541546	1.0	0.0	-1.0
10.145522530136303	16.645130874088665	1.0	0.0	-1.0
1.9919353982725216	14.394360429194764	1.0	0.0	-1.0
11.077511942139298	14.879382752486526	1.0	0.0	-1.0
18.64009786700573	2.386588974190485	1.0	0.0	-1.0
9.633289466213487	20.47505265331152	1.0	0.0	-1.0
24.411175588460388	9.231748943216887	1.0	0.0	-1.0
5.726669644427527	5.47129014364018	1.0	0.0	-1.0
19.790846524985167	9.190297055313204	1.0	0.0	-1.0
26.328930567292442	14.810158764542264	1.0	0.0	-1.0
11.530763630550767	27.584286160925682	1.0	0.0	-1.0
12.712885219213248	4.04712416591614	1.0	0.0	-1.0
13.378480103006103	18.050409877133	1.0	0.0	-1.0
13.84644010272024	14.715638178139798	1.0	0.0	-1.0
22.44967183967275	9.564884085354894	1.0	0.0	-1.0
18.56203222973472	4.3727259419747115	1.0	0.0	-1.0
17.318943040487248	27.96952983672347	1.0	0.0	-1.0
17.65864327184592	12.504802937486918	1.0	0.0	-1.0
16.54470889036695	15.879219592311191	1.0	0.0	-1.0
2.251626997574428	12.443947163286897	1.0	0.0	-1.0
30.0	15.0	1.0026359532733382	0.0	0.0
29.866162322321703	16.999304330606684	1.0026359532733382	0.0	0.0
29.46703762581565	18.96293102806929	1.0026359532733382	0.0	0.0
28.80974830014643	20.855839127452423	1.0026359532733382	0.0	0.0
27.90602368890209	22.64424963887876	1.0026359532733382	0.0	0.0
